Year,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
Utility Bills,18169.251041266005,21938.938851942257,25710.582665040176,29478.627308892646,33245.308374229615,37032.37851920569,54547.38027691287,72063.72159359283,89575.13412159386,107033.66374516398,166136.75628464675,163971.07012397234,160767.94151799043,157576.4342414112,154702.1248370984,151839.89448880687,147737.69713431835,132868.2069804339,118042.6915760549,103230.86090980284
Utility Bills (res),14520.349567019022,17533.90455225911,20547.618401794116,23560.25921309853,26569.78654570697,29594.955230004496,43593.19691049295,57594.326901128465,71591.94279146264,85543.500852473,137823.49386563897,136105.38014283666,133233.77436811218,130372.66203781763,127560.92211265546,124763.83782517824,121529.62715190735,108214.36617169846,94902.17025019048,81600.43376908982
Utility Bills (work),859.7435626092861,1037.5852758288327,1215.6953164154286,1432.7153114277958,1623.0482177252904,1751.7859706061806,2580.1593573251957,3408.1984070218887,4334.191320298357,5344.8628843292445,12084.60750932687,11646.944363093662,11467.838061213199,11282.490341851675,11426.506103274982,11559.266440492906,10799.014907877867,9920.25393263088,9089.23744541874,8259.233710750616
Utility Bills (pub L2),1005.7813468065318,1214.305491822669,1423.6102402276315,1597.3964334933578,1795.6653781084021,2050.580377700585,3019.927367047057,3988.6784626564845,4870.34030804913,5674.693144392864,5744.587216409927,5740.792879736999,5661.150927605505,5583.16323424065,5480.815291789907,5387.2639816401,5345.557156686001,4984.453146100053,4621.503680554737,4258.01080007885
Utility Bills (DCFC),1783.3765648311662,2153.1435320316464,2523.6587066029997,2888.256350872962,3256.8082326889544,3635.056940894428,5354.096642047666,7072.517822785992,8778.65970178373,10470.606863968886,10484.067693270968,10477.952738305028,10405.178161059557,10338.118627501228,10233.881329378071,10129.526241495614,10063.497917847126,9749.133730004498,9429.780199890936,9113.18262988355
Incremental upfront vehicle cost,9159.842680048245,11448.681703913338,6858.458811966617,3429.208523678757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost,10160.500375821583,17807.389225210838,17823.722563804105,17840.104902413143,17856.536388038017,17873.017168119808,83098.40002962734,83175.41460749398,83252.66022909422,83330.13758755935,86602.13697740145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (res),5247.389253006556,9195.73163082269,9203.271813348934,9210.83461642275,9218.420107905795,9226.028355863305,42891.09769975957,42926.65099285885,42962.3109458374,42998.07787867495,44508.57571622887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (work L2),2111.323285300616,3699.0759592852933,3701.2169987680545,3703.364461369258,3705.518366358271,3707.6787330622615,17232.53391474654,17242.629294268558,17252.75495992914,17262.911002586716,17691.817795966213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charging infrastructure cost (public L2),1266.7939711803706,2219.445575571175,2220.7301992608323,2222.018676821555,2223.3110198149625,2224.607239837356,10339.520348847926,10345.577576561134,10351.652975957479,10357.746601552033,10615.09067757974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
